location,area,price,price_currency,status,new/resale,price_negotiable,description,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Rain Water Harvesting,Car Parking,Vaastu Compliant,Golf Course,Intercom,Indoor Games,Maintenance Staff,Multipurpose Room,ATM,Cafeteria,Staff Quarter,Hospital,School,Shopping Mall
Wakad,3840,50945000,INR,0.0,0,0,"It’s a 3 bhk villa situated in Mont Vert Homes Tranquille, Wakad. It has a salable area of 3840 sqft and is available at a price of Rs. 13,266 per sqft. It is an unfurnished property. It is west facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",west,0,12,1,1,1,1,1,1,1,1,1,0,9.4,7.7,27.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIBM Annex Mohammadwadi,2700,22000000,INR,0.0,1,0,"It’s a 3 bhk villa situated in K Raheja Corp Sterling, NIBM Annex Mohammadwadi, Pune. It has an area of 2700 sqft with a carpet area of 2250 sqft . The property is available at a price of Rs. 2.20 cr . It has 1 tv, 1 refrigerator, 1 sofa and 1 sofa. It also has 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. Its main door is facing east direction. It is well connected to the city areas. ",east,0,0,1,1,0,1,1,1,1,1,1,0,7.986199997610439,8.045768019424825,66.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Mundhwa,2500,16000000,INR,1.0,0,0,"It’s a 4 bhk villa situated in Riswadkar Associates Prestige Panorma, Mundhwa. It has an area of 2500 sqft . The property is available at a price of Rs. 1.60 cr . The house is semi-furnished. It is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",east,0,13,1,1,0,1,1,1,1,1,0,0,8.6,8.077859576014513,123.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kondhwa,2000,19000000,INR,0.0,0,0,"Well designed 3 bhk villa is available at a prime location in Siddhivinayak Groups Sunshree Emerald. It has a built-up area of 2000 sqft and is priced at Rs. 1.90 cr . It is a furnished property. Furnishings include 1 tv, 1 sofa, 1 sofa, 1 dining table, 1 ac and 1 bed. It is facing north direction. It is a 12 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",north,1,11,1,1,1,1,1,1,1,0,1,0,8.8,8.3,35.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kondhwa,1420,12500000,INR,1.0,0,0,"A spacious 2 bhk villa is available for sale in Clover Realty Highlands, Kondhwa, Pune. It has a salable area of 1420 sqft and is available at a price of Rs. 8,802 per sqft. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",east,0,0,1,1,1,1,1,1,1,1,1,0,8.8,7.8,48.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tungarli,5600,40000000,INR,0.0,0,0,"It has an area of 5600 sqft with a carpet area of 1700 sqft . The property is available at a price of Rs. 4.00 cr . The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 sofa. It also has 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. Its main door is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",east,1,0,1,1,0,1,1,1,1,1,0,0,8.015749047339035,8.0400404713278,186.29270929935353,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kothrud,4200,54000000,INR,0.0,0,0,"It’s a 5 bhk villa situated in Kothrud, Pune. It has an area of 4200 sqft with a carpet area of 4000 sqft . The property is available at a price of Rs. 5.40 cr . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. ",unknown,0,0,0,0,0,0,0,0,0,0,0,0,9.2,8.107141338165968,212.4724537848433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charholi Budruk,2621,20500000,INR,0.0,1,0,"Looking for a 3 BHK Villa for sale in Pune? Your search ends here. Buy this 3 BHK property in Pune's finest location, Charholi Budruk. This Villa is available at a reasonable price of Rs 2.05 Cr. The built up area of this property is 2621 Square feet. It is spacious for a family and this property has a carpet area of 2621 Square feet. This property is North-East facing. There are 3 bedrooms and 3 bathroom. Servant room is also present. The Villa has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenities like Gym, Garden, Sports Facility, Swimming Pool, Intercom, Clubhouse, Community Hall. This property has power backup facility. Regular water supply is available. It is also equipped with a dedicated kids area. This is a gated community. There are a number of reputed schools in the vicinity such as Sharad Pawar International Dental School, Eyes English school, and Shri Santa Tukaram Madhyamik Va Uchha Uadhyamik Vidyalaya. Medical facility is also close at hand with names like Apple Hospital, Shree Yogiraj Hospital, and Orchid Hospital",northeast,0,0,1,1,0,1,1,1,1,1,0,0,8.015749047339035,8.0400404713278,186.29270929935353,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wagholi,2200,15000000,INR,0.0,0,0,"Well designed 3 bhk villa is available at a prime location in Kolte Patil Developers Ivy Villa. It has a built-up area of 2200 sqft and is priced at Rs. 1.50 cr . It is a semi-furnished property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",west,0,8,0,1,1,1,1,1,1,1,1,1,8.0,8.7,32.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhanori,1800,8900000,INR,0.0,1,0,"A spacious 3 bhk villa is available for sale in Dhanori, Pune. It has an area of 1800 sqft with a carpet area of 1333 sqft . The property is available at a price of Rs. 89.00 lac . It is an unfurnished property. This residential complex is under-construction as of now. . If you are interested, please contact us for more details. ",west,0,0,1,1,0,1,1,1,1,1,0,0,8.4,8.061812511579063,194.78735763753306,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
